Mã sản phẩm,Mã shop,Tên sản phẩm,Giá,Số lượng,Tên shop,Trạng thái đơn hàng,Giao hàng vào lúc
4234701164,251154199,dép Cross sục bít đầu khủng long sục lít nhiều màu MAILITSUC6,170000.0,1,Dép Cross,Đơn hàng đã được giao thành công,2023-08-07 12:04:30
4234701164,251154199,dép Cross sục bít đầu khủng long sục lít nhiều màu MAILITSUC6,170000.0,1,Dép Cross,,
9853203579,30307559,Kẻ mắt Sivanna bút kẻ mắt nước không trôi không lem Xpress Eyeliner Rose Cat siêu dễ vẽ,57000.0,1,Tiệm Tạp Hoá Cô Trinh,Đơn hàng đã được giao thành công,2023-06-12 08:34:12
23530188371,630540928,Free Ship - Thùng 100 Chiếc Khẩu Trang 5D Thịnh Phát 3 Lớp Kháng Khuẩn.,25000.0,6,Khautrang.vip Store,Đơn hàng đã được giao thành công,2023-05-06 15:46:06
23530188371,630540928,Free Ship - Thùng 100 Chiếc Khẩu Trang 5D Thịnh Phát 3 Lớp Kháng Khuẩn.,25000.0,6,Khautrang.vip Store,,
2865372966,175889782,Bông tẩy trang Lameila 222 miếng,19000.0,3,Lameila Official,Đơn hàng đã được giao thành công,2023-05-05 15:24:33
3153618400,199845680,Kem Lười TONING Dream Trend - Kem Lười Đài Loan - Kem Nâng Tông Sáng Da Cho Nàng Lười MKUP,302400.0,1,MEO COMETICS,Đơn hàng đã được giao thành công,2023-04-26 09:51:25
14925500951,635670015,"Kem Chống Nắng Farmona Sun Face Cream Oil Free Spf50 Cho Da Dầu Mụn 50ml, Không Chứa Dầu spf 50",189000.0,1,NiceStore - Hàng Châu Âu,Đơn hàng đã được giao thành công,2023-04-09 15:11:42
14925500951,635670015,"Kem Chống Nắng Farmona Sun Face Cream Oil Free Spf50 Cho Da Dầu Mụn 50ml, Không Chứa Dầu spf 50",189000.0,1,NiceStore - Hàng Châu Âu,,
14925500951,635670015,"Kem Chống Nắng Farmona Sun Face Cream Oil Free Spf50 Cho Da Dầu Mụn 50ml, Không Chứa Dầu spf 50",189000.0,1,NiceStore - Hàng Châu Âu,,
10458147970,554839596,"Khăn lau mặt dùng 1 lần lau khô, lau ướt, Khăn giấy đa năng",14500.0,6,Tâm An More  ,Đơn hàng đã được giao thành công,2023-03-14 09:01:36
10458147970,554839596,"Khăn lau mặt dùng 1 lần lau khô, lau ướt, Khăn giấy đa năng",14500.0,6,Tâm An More  ,,
9148334373,397164245,"[TÚI SIZE LỚN] Túi hoạ tiết SIZE 36 , SIZE 41cm chất đẹp đựng cả thế giới(tặng kèm khăn lụa màu ngẫu nhiên )",115000.0,1,Xưởng Túi Duyên Cường 1993,Đơn hàng đã được giao thành công,2023-03-03 08:35:59
9148334373,397164245,"[TÚI SIZE LỚN] Túi hoạ tiết SIZE 36 , SIZE 41cm chất đẹp đựng cả thế giới(tặng kèm khăn lụa màu ngẫu nhiên )",115000.0,1,Xưởng Túi Duyên Cường 1993,,
7244168637,53895202,"[ XẢ HÀNG] Ví nữ mini CNK đầy đủ hộp, tag, mác sẵn 3 màu",115000.0,1,Eirene shop,Đơn hàng đã được giao thành công,2023-01-28 09:27:29
7244168637,53895202,"[ XẢ HÀNG] Ví nữ mini CNK đầy đủ hộp, tag, mác sẵn 3 màu",115000.0,1,Eirene shop,,
15520058464,60596463,Túi Đ Mini size 14cm-17cm-20cm Full hộp sang chảnh,399000.0,1,Shop Phượng Đoàn,Đơn hàng đã được giao thành công,2023-01-14 14:56:34
3315363274,139029112,Kính áp tròng QUỲNH LENS dali black 0-8 độ,130000.0,1,QUỲNH LENS - Lens mắt Hàn Quốc,Đơn hàng đã giao thành công,2023-01-03 18:15:58
3315363274,139029112,Kính áp tròng QUỲNH LENS dali black 0-8 độ,130000.0,1,QUỲNH LENS - Lens mắt Hàn Quốc,,
20600829991,283145067,Móng Tay Giả 3d Trang Trí Chất Lượng Cao,13920.0,1,travelgoods.vn,Đơn hàng đã giao thành công,2023-01-08 09:00:55
1226041496,37251700,Nước làm sạch sâu và tẩy trang dành cho da dầu La Roche-Posay Effaclar Micellar Water 400ml,399000.0,1,La Roche-Posay Chính Hãng,Đơn hàng đã giao thành công,2022-12-11 14:26:34
7203083993,18582774,Bông tẩy trang 222 miếng Lameila BTT222,14500.0,2,Aura Cosmetic,Giao hàng thành công,2022-11-24 08:40:05
7203083993,18582774,Bông tẩy trang 222 miếng Lameila BTT222,14500.0,2,Aura Cosmetic,,
3217684486,133117421,"Bảng tên nhân viên nam châm, Thẻ tên cài áo mica",12000.0,13,Menu mica Hưng Thịnh,Giao hàng thành công,2022-11-22 08:08:43
21033935454,840223152,Đồng Hồ Thông Minh D20 2021 Theo Dõi Sức Khỏe Kết Nối Bluetooth Cho Xiaomi Android Apple,59999.0,1,lovelzc.vn,Giao hàng thành công,2022-11-23 16:43:37
3518832293,14393606,"[TOP 1 SHOPEE] Kem dưỡng ẩm The Inkey List Vitamin B, C And E Moisturizer 50ml (Bill Anh)",250000.0,1,Little_London,Giao hàng thành công,2022-11-08 08:30:27
17014131624,641978217,"[Mã COSDAY259 -10% đơn 150K] Khẩu Trang 3D Công Nghệ Nhật Bản - Hộp 50 Chiếc, 100 Chiếc",52000.0,1,Sokaido Store,Giao hàng thành công,2022-10-24 07:55:20
7316606858,1754914,Phí Tham Gia Gói Miễn Phí Vận Chuyển XTRA,1000.0,1,Shopee VN ,,1970-01-01 07:00:00
179292716,819207,Sữa rửa mặt Cerave Foaming Facial Cleanser bản Mỹ (Pháp) ANVISHOP Cerave da dầu & Da Khô các size 236ml - 355ml - 473ml,146000.0,1,ANVISHOP Wax Veet & Cerave ,Giao hàng thành công,2022-10-20 15:28:20
179292716,819207,Sữa rửa mặt Cerave Foaming Facial Cleanser bản Mỹ (Pháp) ANVISHOP Cerave da dầu & Da Khô các size 236ml - 355ml - 473ml,146000.0,1,ANVISHOP Wax Veet & Cerave ,,
4970115466,60596463,[Kelly19cm-21cm-22cm-25cm] Túi da mềm FULL BOX Khoá Vàng Vừa Plus,315000.0,1,Shop Phượng Đoàn,Giao hàng thành công,2022-09-29 17:13:47
3403193804,4054862,BÀN LÀ GẬP HƠI NƯỚC MẪU MỚI 2019 MÀU HỒNG,309750.0,1,Công Ty CP VietDeal Việt Nam,Giao hàng thành công,2022-08-24 10:24:16
17656221764,16969108,Minisize La Roche Posay Serum Hyalu B5 Dưỡng Chất Chuyên Sâu Tái Tạo Làn Da Giúp Săn Chắc Và Đàn Hồi Hơn 10ml,162000.0,1,NỞ COSMETIC,Giao hàng thành công,2022-08-22 15:23:58
2301494097,2174371,[Mini] Sữa Rửa Mặt La Roche Posay dành cho da dầu mụn 50ml,75000.0,1,3011 Store,Giao hàng thành công,2022-07-20 12:41:18
2301494097,2174371,[Mini] Sữa Rửa Mặt La Roche Posay dành cho da dầu mụn 50ml,74999.0,1,3011 Store,,
4361622818,24262855,"SERUM HYALU B5 LA ROCHE POSAY 30ml, 10ml ( b5 laroche posay)",159000.0,1,huynh.huynhle,Giao hàng thành công,2022-07-10 15:05:39
1979422317,39661159,Kem Đánh Răng Crest 3D White Advanced 158gr – Mỹ,108000.0,1,VTP  Store,Giao hàng thành công,2022-07-10 15:05:39
6311324330,44538820,[Cực Thơm]NƯỚC HOA MINI NỮ GOOD.GIRL 20ML ĐI HỌC,143000.0,1,Nước hoa mini Đà Nẵng,Giao hàng thành công,2022-06-27 09:05:46
